ig_name,ig_version,resource_type,path,fhir_path,data_type,is_required,transform_kind,mapping_key,reference_target,sort_order,is_active
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.resultId,DiagnosticReport.result[0].reference,string,false,build_reference,,Observation,90,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.imagingStudyId,DiagnosticReport.imagingStudy[0].reference,string,false,build_reference,,ImagingStudy,100,true
tw.gov.mohw.twcore,1.0.0,diagnosticreport,diagnosticreport.conclusion,DiagnosticReport.conclusion,string,false,copy,,,110,true
tw.gov.mohw.twcore,1.0.0,imagingstudy,imagingstudy.status,ImagingStudy.status,string,true,code_map,imagingstudy-status,,10,true
tw.gov.mohw.twcore,1.0.0,imagingstudy,imagingstudy.modalityCode,ImagingStudy.modality[0].code,string,false,code_map,imaging-modality,,20,true
tw.gov.mohw.twcore,1.0.0,imagingstudy,imagingstudy.patientId,ImagingStudy.subject.reference,string,true,build_reference,,Patient,30,true
tw.gov.mohw.twcore,1.0.0,imagingstudy,imagingstudy.encounterId,ImagingStudy.encounter.reference,string,false,build_reference,,Encounter,40,true
tw.gov.mohw.twcore,1.0.0,imagingstudy,imagingstudy.started,ImagingStudy.started,dateTime,false,copy,,,50,true
tw.gov.mohw.twcore,1.0.0,imagingstudy,imagingstudy.numberOfSeries,ImagingStudy.numberOfSeries,integer,false,copy,,,60,true
tw.gov.mohw.twcore,1.0.0,imagingstudy,imagingstudy.numberOfInstances,ImagingStudy.numberOfInstances,integer,false,copy,,,70,true
